,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
10304,VA401,61.85789167,24.23838333,1600,1803,Circular,124,2,205,1235,2006,FALSE,FALSE,NA,NA,24.74994949,481.103499,NA,NA,NA,1,3
15580,VA401,61.85789167,24.23838333,1600,1803,Circular,124,2,205,1235,2019,FALSE,FALSE,FALSE,FALSE,25.89980695,526.845088,NA,NA,NA,1,3
5266,VA401,61.85789167,24.23838333,1600,1803,Circular,125,2,209,900,1993,FALSE,FALSE,NA,NA,15.79968354,196.0589435,NA,NA,NA,1,3
10305,VA401,61.85789167,24.23838333,1600,1803,Circular,125,2,209,900,2006,FALSE,FALSE,NA,NA,16.59728894,216.3536321,NA,NA,NA,1,3
15581,VA401,61.85789167,24.23838333,1600,1803,Circular,125,2,209,900,2019,FALSE,FALSE,FALSE,FALSE,19.24941558,291.0214355,230,142,165,1,3
5267,VA401,61.85789167,24.23838333,1600,1803,Circular,126,2,214,840,1993,FALSE,FALSE,NA,NA,11.74904251,108.4163625,NA,NA,NA,1,3
10306,VA401,61.85789167,24.23838333,1600,1803,Circular,126,2,214,840,2006,FALSE,FALSE,NA,NA,11.79957626,109.3509863,NA,NA,NA,1,3
15582,VA401,61.85789167,24.23838333,1600,1803,Circular,126,2,214,840,2019,TRUE,TRUE,TRUE,FALSE,11.6498927,106.5942387,NA,NA,NA,3,3
5268,VA401,61.85789167,24.23838333,1600,1803,Circular,127,2,220,1115,1993,FALSE,FALSE,NA,NA,16.34625339,209.8583893,NA,NA,NA,1,3
10307,VA401,61.85789167,24.23838333,1600,1803,Circular,127,2,220,1115,2006,FALSE,FALSE,NA,NA,16.34931191,209.9369291,NA,NA,NA,1,3
15583,VA401,61.85789167,24.23838333,1600,1803,Circular,127,2,220,1115,2019,FALSE,FALSE,FALSE,FALSE,16.59969879,216.4164639,NA,NA,NA,1,3
5269,VA401,61.85789167,24.23838333,1600,1803,Circular,128,2,223,1470,1993,FALSE,FALSE,NA,NA,17.99888885,254.437589,NA,NA,NA,1,3
